customers_id;products_id;order_id;quantity;customer_name;email;address;category_id;product_name;category_name;price
1016;135;5816;2;Patricia Roberts;caseyanna@example.net;"USCGC Cooper
FPO AP 34657";2;official;Clothing;462
2747;274;3899;2;Julia Pennington;lynchanthony@example.org;"5482 Amy Loop
Aaronburgh, MP 27933";3;up;Electronics;416
1574;223;3668;3;Richard Brewer;ericadillon@example.org;"33521 Bell Square
East Rebeccatown, IL 63150";3;state;Electronics;291
2578;311;4548;2;Alicia Golden;robertshaffer@example.net;"08408 Jeffery Key Suite 992
Garrettburgh, HI 34778";1;always;Books;229
1044;299;1102;4;David Hunter;kochtroy@example.com;"19515 Allison Court
Fischerfort, IN 84674";2;prepare;Clothing;47
2412;335;4092;4;Bradley Ryan;donald81@example.com;"870 Jacqueline Isle Apt. 567
North Cody, AK 17332";1;voice;Books;253
1768;266;2953;3;Lawrence Perez;henry92@example.com;"5466 Christine Parks
East Jamesville, MA 79690";3;director;Electronics;453
81;107;2716;1;Richard Marshall;laurahayes@example.net;"54349 Johnson Stream
Howardport, MO 84724";1;popular;Books;249
1510;403;1284;2;Marisa Ward;jrodriguez@example.com;"69615 Melissa Villages Apt. 023
Charlesbury, NC 57039";2;bill;Clothing;411
530;248;287;3;Daniel Myers;gabriellehuynh@example.org;"86079 Victoria Court Apt. 085
South Kelsey, ID 36672";1;sure;Books;201
289;187;5994;1;Daniel Contreras;rharris@example.com;"52716 Megan Road Apt. 965
West Elaine, IL 40329";1;open;Books;147
2467;245;4625;3;Kimberly Foley;schmidtheather@example.org;"PSC 8869, Box 5522
APO AP 61815";3;month;Electronics;353
2994;343;2832;3;Ellen Hunter;jennifersantos@example.net;"17669 Gary Mills Apt. 214
West Davidshire, MP 82029";2;smile;Clothing;302
295;496;273;3;James Brown;mario41@example.net;"020 Casey Forge Apt. 007
Danielside, MI 58778";3;result;Electronics;212
2449;256;5040;4;Alan Davis;mcmahondaniel@example.org;"16868 Morrison Island Suite 111
Sarahstad, DC 46543";2;guy;Clothing;185
1990;30;388;4;Kelly Anderson;erinmccullough@example.org;"USS Byrd
FPO AA 57721";1;whose;Books;153
1910;242;2467;2;Joshua Francis;oscar82@example.org;"6083 Jones Station Apt. 394
New Elizabethside, MP 58902";3;million;Electronics;316
1670;316;1708;2;George Mccormick;popejames@example.com;"761 Ellison Canyon
Hensonshire, FM 32151";3;lose;Electronics;223
1136;412;3051;3;Amy Brown;vlopez@example.com;"168 Luke Manor Apt. 382
East Anne, AZ 45997";1;according;Books;497
1717;421;3075;1;Angel Hayes;qgray@example.org;"Unit 3796 Box 1549
DPO AP 90701";1;senior;Books;260
164;391;1005;1;Brittany Lara;christina87@example.net;"77102 Suarez Loop
West Bobby, OK 09621";1;special;Books;185
1833;106;552;1;Matthew Johnson;jeffrey21@example.net;"18314 Fisher Estates
New Meganburgh, MT 48816";2;article;Clothing;14
533;313;1680;2;Angel Harrell;kristin46@example.net;"11234 Gonzalez Locks Apt. 172
South Marc, FM 84841";2;time;Clothing;245
37;57;319;4;Robert Olson;ramoskelly@example.net;"330 Jeffrey Trace
Changmouth, AZ 21320";3;throughout;Electronics;188
763;492;4649;1;Beth Simmons;nicholasestrada@example.org;"17863 Arnold Circle
Michaelshire, WV 86388";2;over;Clothing;108
2435;255;5354;4;Brooke Howard;ifields@example.net;"57099 Dickerson Groves Suite 792
New Richard, TX 83489";2;early;Clothing;268
220;185;1227;1;Julie Aguilar;rebeccacooper@example.com;"85012 Edwards Shores Apt. 284
Samanthaborough, NE 58862";2;event;Clothing;400
2638;225;1695;2;Amber Fischer;matthewedwards@example.com;"550 Tracey Course Suite 721
Kennethton, ME 58147";2;final;Clothing;411
1024;148;3761;4;Christopher Lewis;randy90@example.com;"39159 Baxter Ways Apt. 291
Port Vanessa, KY 16719";3;cold;Electronics;394
2083;259;1022;3;Aaron Erickson;sarah42@example.net;"75784 Paul Throughway
South Alexanderville, NY 81058";1;police;Books;232
19;36;458;4;Melissa Howard;figueroasherri@example.org;"4630 Tran Hills
Lewischester, MO 52575";2;paper;Clothing;80
513;139;4744;1;Daniel Solomon;cynthiacarter@example.net;"2572 Ann Knoll
Port Barbara, MI 68631";2;exactly;Clothing;142
1980;104;4049;4;Danielle Hansen;joshuavasquez@example.net;"986 Lowe Burgs Apt. 618
Lake Alan, MP 37530";3;life;Electronics;10
